Channel_Des,Region_Des,Reset,Customer_ID,Delicassen,Detergents_Paper,Food,Fresh,Frozen,Grocery,Milk,Total Spending
Horeca,Other Regions,Reset Button,27,833,242,17704,9898,3151,2861,961,17946
Horeca,Other Regions,Reset Button,28,518,100,19127,14276,485,3045,803,19227
Retail,Other Regions,Reset Button,29,5206,8604,56918,4113,1158,25957,20484,65522
Horeca,Other Regions,Reset Button,30,823,1107,49820,43088,1200,2609,2100,50927
Horeca,Other Regions,Reset Button,31,2963,2134,37643,18815,1148,11107,3610,39777
Horeca,Other Regions,Reset Button,32,985,820,13157,2612,2088,3133,4339,13977
Horeca,Other Regions,Reset Button,33,405,918,26507,21632,266,2886,1318,27425
Horeca,Other Regions,Reset Button,34,1083,361,49054,29729,6130,7326,4786,49415
Horeca,Other Regions,Reset Button,35,395,483,6563,1502,425,2262,1979,7046
Retail,Other Regions,Reset Button,36,436,4239,18539,688,833,11091,5491,22778
Horeca,Other Regions,Reset Button,37,4626,862,46100,29955,1729,5428,4362,46962
Retail,Other Regions,Reset Button,38,714,6506,40835,15168,1920,12477,10556,47341
Retail,Other Regions,Reset Button,39,433,6956,37495,4591,33,16709,15729,44451
Horeca,Other Regions,Reset Button,40,2916,212,70534,56159,10002,902,555,70746
Horeca,Other Regions,Reset Button,41,5864,1145,48488,24025,9510,4757,4332,49633
Horeca,Other Regions,Reset Button,42,2802,2575,33032,19176,2033,5956,3065,35607
Retail,Other Regions,Reset Button,43,46,6899,33600,10850,188,14961,7555,40499
Retail,Other Regions,Reset Button,44,72,9529,36582,630,787,23998,11095,46111
Retail,Other Regions,Reset Button,45,65,4618,27774,9670,541,10471,7027,32392
Retail,Other Regions,Reset Button,46,4985,7353,55481,5181,1740,21531,22044,62834
Retail,Other Regions,Reset Button,47,1452,6792,42247,3103,1668,21955,14069,49039
Retail,Other Regions,Reset Button,48,6465,24171,168543,44466,7782,55571,54259,192714
Retail,Other Regions,Reset Button,49,1476,5121,30599,11519,584,10868,6152,35720
Retail,Other Regions,Reset Button,50,1163,13583,58261,4967,1798,28921,21412,71844
Horeca,Other Regions,Reset Button,51,2162,609,15366,6269,3860,1980,1095,15975
Horeca,Other Regions,Reset Button,52,301,1538,14934,3347,239,6996,4051,16472
Retail,Other Regions,Reset Button,53,1278,2587,52323,40721,532,5876,3916,54910
Retail,Other Regions,Reset Button,54,224,5611,23464,491,744,11532,10473,29075
Horeca,Other Regions,Reset Button,55,1333,204,34494,27329,2436,1947,1449,34698
Horeca,Other Regions,Reset Button,56,1130,2024,16139,5264,1057,5005,3683,18163
Retail,Other Regions,Reset Button,57,1340,17740,64812,4098,2616,26866,29892,82552
Retail,Other Regions,Reset Button,58,1282,7572,27157,5417,38,10487,9933,34729
Horeca,Other Regions,Reset Button,59,436,227,18429,13779,596,1648,1970,18656
Horeca,Other Regions,Reset Button,60,1603,3084,21269,6137,129,8040,5360,24353
Retail,Other Regions,Reset Button,61,225,4095,19810,8590,96,7854,3045,23905
Retail,Other Regions,Reset Button,62,2017,26701,139180,35942,3254,59598,38369,165881
Retail,Other Regions,Reset Button,63,964,4074,25730,7823,4154,6544,6245,29804
Retail,Other Regions,Reset Button,64,1295,7677,40963,9396,2896,15775,11601,48640
Horeca,Other Regions,Reset Button,65,1145,1247,14106,4760,3724,3250,1227,15353
Retail,Other Regions,Reset Button,66,1423,24231,68331,85,36,45828,20959,92562
Horeca,Other Regions,Reset Button,67,27,3468,9162,9,175,7417,1534,12630
Retail,Other Regions,Reset Button,68,834,5141,42224,19913,1256,13462,6759,47365
Horeca,Other Regions,Reset Button,69,3095,788,22664,2446,5870,3993,7260,23452
Horeca,Other Regions,Reset Button,70,144,656,13388,8352,779,1293,2820,14044
Horeca,Other Regions,Reset Button,71,1365,116,33952,16705,10643,3202,2037,34068
Horeca,Other Regions,Reset Button,72,14472,4173,60444,18291,5373,21042,1266,64617
Horeca,Other Regions,Reset Button,73,181,1321,21273,4420,8872,2661,5139,22594
Retail,Other Regions,Reset Button,74,648,764,42724,19899,8132,8713,5332,43488
Retail,Other Regions,Reset Button,75,1780,1901,27392,8190,1285,9794,6343,29293
Horeca,Other Regions,Reset Button,76,975,3,26920,20398,4407,3,1137,26923
Horeca,Other Regions,Reset Button,77,894,529,19260,717,7530,6532,3587,19789
Retail,Other Regions,Reset Button,78,1009,12034,55320,12205,869,28540,12697,67354
Horeca,Other Regions,Reset Button,79,167,301,16271,10766,2096,2067,1175,16572
Horeca,Other Regions,Reset Button,80,1653,1202,11075,1640,868,3655,3259,12277
Horeca,Other Regions,Reset Button,81,529,610,11802,7005,430,3009,829,12412
Retail,Other Regions,Reset Button,82,156,7818,24601,219,283,14403,9540,32419
Retail,Other Regions,Reset Button,83,2342,3537,33682,10362,737,11009,9232,37219
Horeca,Other Regions,Reset Button,84,772,550,27312,20874,2320,1783,1563,27862
Retail,Other Regions,Reset Button,85,120,3837,21306,11867,1178,4814,3327,25143
Retail,Other Regions,Reset Button,86,2944,40827,159064,16117,1026,92780,46197,199891
Retail,Other Regions,Reset Button,87,903,20070,130427,22925,987,32114,73498,150497
Horeca,Other Regions,Reset Button,88,14351,1579,77070,43265,6312,8117,5025,78649
Horeca,Other Regions,Reset Button,89,46,165,22229,7864,9735,4042,542,22394
Horeca,Other Regions,Reset Button,90,3178,454,40691,24904,3443,5330,3836,41145
Horeca,Other Regions,Reset Button,91,360,69,17346,11405,3347,1638,596,17415
Horeca,Other Regions,Reset Button,92,1117,627,27856,12754,8693,2530,2762,28483
Retail,Other Regions,Reset Button,93,5130,18906,77066,9198,3232,32034,27472,95972
Horeca,Other Regions,Reset Button,94,2698,71,54173,11314,35009,2062,3090,54244
Retail,Other Regions,Reset Button,95,244,5038,29619,5626,206,11323,12220,34657
Horeca,Other Regions,Reset Button,96,709,223,10324,3,440,6252,2920,10547
Retail,Other Regions,Reset Button,97,217,3874,11119,23,145,8118,2616,14993
Horeca,Other Regions,Reset Button,98,63,54,2104,403,774,610,254,2158
Horeca,Other Regions,Reset Button,99,132,56,2420,503,895,778,112,2476
Horeca,Other Regions,Reset Button,100,323,215,19711,9658,5639,1909,2182,19926
Retail,Other Regions,Reset Button,101,3029,8035,37798,11594,3252,12144,7779,45833
Retail,Other Regions,Reset Button,102,1838,6766,31928,1420,1593,16267,10810,38694
Retail,Other Regions,Reset Button,103,1386,4573,21015,2932,2561,7677,6459,25588
Horeca,Other Regions,Reset Button,104,2498,1480,89018,56082,18028,8906,3504,90498
Horeca,Other Regions,Reset Button,105,548,1491,21561,14100,1336,3445,2132,23052
Horeca,Other Regions,Reset Button,106,1378,139,22859,15587,910,3970,1014,22998
Retail,Other Regions,Reset Button,107,1831,6830,20459,1454,133,10704,6337,27289
Retail,Other Regions,Reset Button,108,1438,8969,38238,8797,2471,14886,10646,47207
Retail,Other Regions,Reset Button,109,1236,2505,18392,1531,247,6981,8397,20897
Retail,Other Regions,Reset Button,110,3,836,47797,1406,673,28986,16729,48633
Horeca,Other Regions,Reset Button,111,1647,169,19083,11818,2276,1694,1648,19252
Retail,Other Regions,Reset Button,112,1519,6457,43586,12579,805,17569,11114,50043
Horeca,Other Regions,Reset Button,113,2708,483,35846,19046,8853,2469,2770,36329
Horeca,Other Regions,Reset Button,114,1561,585,23247,14438,3220,1733,2295,23832
Horeca,Other Regions,Reset Button,115,1266,118,24945,18044,2555,2000,1080,25063
Horeca,Other Regions,Reset Button,116,610,276,18240,11134,2715,2988,793,18516
Horeca,Other Regions,Reset Button,117,222,310,18788,11173,1517,3355,2521,19098
Horeca,Other Regions,Reset Button,118,1160,319,19057,6990,1647,5380,3880,19376
Horeca,Other Regions,Reset Button,119,933,411,30578,20049,5343,2362,1891,30989
Horeca,Other Regions,Reset Button,120,635,266,17280,8258,3896,2147,2344,17546
Horeca,Other Regions,Reset Button,121,1136,174,25325,17160,2417,3412,1200,25499
Horeca,Other Regions,Reset Button,122,255,264,11402,4020,2395,1498,3234,11666
Horeca,Other Regions,Reset Button,123,860,25,15509,12212,1991,245,201,15534
Retail,Other Regions,Reset Button,124,143,1976,33090,11170,2194,8814,10769,35066
Horeca,Other Regions,Reset Button,125,1621,500,47061,36050,4787,2961,1642,47561
Horeca,Other Regions,Reset Button,126,918,778,104268,76237,16538,7102,3473,105046
Horeca,Other Regions,Reset Button,127,483,349,31395,19219,8195,1658,1840,31744
Retail,Other Regions,Reset Button,128,2749,2386,43022,21465,880,10685,7243,45408
Horeca,Other Regions,Reset Button,129,3,1062,12955,140,142,3823,8847,14017
Horeca,Other Regions,Reset Button,130,1819,410,48285,42312,1718,1510,926,48695
Horeca,Other Regions,Reset Button,131,911,395,17503,7149,6316,699,2428,17898
Horeca,Other Regions,Reset Button,132,310,70,3660,2101,346,314,589,3730
Horeca,Other Regions,Reset Button,133,328,955,20318,14903,576,2479,2032,21273
Horeca,Other Regions,Reset Button,134,396,256,12543,9434,436,1235,1042,12799
Horeca,Other Regions,Reset Button,135,537,47,12701,7388,720,2174,1882,12748
Horeca,Other Regions,Reset Button,136,326,199,11676,6300,1170,2591,1289,11875
Horeca,Other Regions,Reset Button,137,1542,2447,26351,4625,4575,7030,8579,28798
Horeca,Other Regions,Reset Button,138,36,721,20146,3087,661,8282,8080,20867
Horeca,Other Regions,Reset Button,139,3271,249,26254,13537,155,5034,4257,26503
Horeca,Other Regions,Reset Button,140,929,637,15463,5387,825,3343,4979,16100
Horeca,Other Regions,Reset Button,141,2616,960,34103,17623,2279,7305,4280,35063
Horeca,Other Regions,Reset Button,142,1450,51,50591,30379,321,5189,13252,50642
Horeca,Other Regions,Reset Button,143,3,20,55439,37036,2995,8253,7152,55459
Horeca,Other Regions,Reset Button,144,318,399,21840,10405,8425,1096,1596,22239
Horeca,Other Regions,Reset Button,145,201,516,24811,18827,118,1988,3677,25327
Retail,Other Regions,Reset Button,146,4430,12591,69687,22039,42,34792,8384,82278
Horeca,Other Regions,Reset Button,147,520,73,13328,7769,926,2177,1936,13401
Horeca,Other Regions,Reset Button,148,526,1082,17095,9203,1286,2707,3373,18177
Horeca,Other Regions,Reset Button,149,434,283,11536,5924,4052,542,584,11819
Horeca,Other Regions,Reset Button,150,1440,113,37136,31812,800,1651,1433,37249
Horeca,Other Regions,Reset Button,151,1067,170,21735,16225,853,1765,1825,21905
Horeca,Other Regions,Reset Button,152,1774,255,8944,1289,531,2022,3328,9199
Horeca,Other Regions,Reset Button,153,184,352,26531,18840,3001,3135,1371,26883
Horeca,Other Regions,Reset Button,154,1627,302,17487,3463,779,2368,9250,17789
Horeca,Other Regions,Reset Button,155,8,7,897,622,75,137,55,904
Retail,Other Regions,Reset Button,156,2153,11577,34525,1989,233,19460,10690,46102
Retail,Other Regions,Reset Button,157,3182,6694,27475,3830,317,14855,5291,34169
Horeca,Other Regions,Reset Button,158,418,811,25409,17773,3378,2474,1366,26220
Retail,Other Regions,Reset Button,159,1682,4004,21661,2861,930,9618,6570,25665
Retail,Other Regions,Reset Button,160,303,8077,23442,355,398,14682,7704,31519
Retail,Other Regions,Reset Button,161,2157,4424,21179,1725,824,12822,3651,25603
Horeca,Other Regions,Reset Button,162,2233,3,16582,12434,1092,283,540,16585
Horeca,Other Regions,Reset Button,163,610,232,24286,15177,2665,3810,2024,24518
Retail,Other Regions,Reset Button,164,446,13726,50940,5531,2367,26870,15726,64666
Retail,Other Regions,Reset Button,165,238,3674,24189,5224,2540,8584,7603,27863
Retail,Other Regions,Reset Button,166,2379,7108,54930,15615,4425,19858,12653,62038
Retail,Other Regions,Reset Button,167,3637,4973,25343,4822,993,9170,6721,30316
Horeca,Other Regions,Reset Button,168,693,1680,10487,2926,405,3268,3195,12167
Horeca,Other Regions,Reset Button,169,429,79,9169,5809,1393,803,735,9248
Horeca,Other Regions,Reset Button,170,750,69,11435,5414,2399,2155,717,11504
Retail,Other Regions,Reset Button,171,323,7015,23804,260,1116,13430,8675,30819
Retail,Other Regions,Reset Button,172,6250,8773,52779,200,651,19816,25862,61552
Horeca,Other Regions,Reset Button,173,707,2840,14010,955,333,6536,5479,16850
Retail,Other Regions,Reset Button,174,716,9836,29649,514,937,19805,7677,39485
Horeca,Other Regions,Reset Button,175,1442,153,10692,286,2515,5241,1208,10845
Retail,Other Regions,Reset Button,176,1697,4196,23811,2343,52,11874,7845,28007
Horeca,Other Regions,Reset Button,177,230,1532,66732,45640,7368,6536,6958,68264
Horeca,Other Regions,Reset Button,178,2631,20,29005,12759,1752,4533,7330,29025
Horeca,Other Regions,Reset Button,179,395,120,24569,11002,1152,4945,7075,24689
Horeca,Other Regions,Reset Button,180,2165,273,17187,3157,4477,2500,4888,17460
Horeca,Other Regions,Reset Button,181,2794,1382,30475,12356,402,8887,6036,31857
Horeca,Other Regions,Reset Button,182,8550,4948,185221,112151,16745,18148,29627,190169
Horeca,Other Regions,Reset Button,183,156,6907,20344,694,443,10518,8533,27251
Horeca,Other Regions,Reset Button,184,47943,239,185444,36847,36534,20170,43950,185683
Horeca,Other Regions,Reset Button,185,11,334,6040,327,74,4710,918,6374
Horeca,Other Regions,Reset Button,186,247,58,18185,8170,2181,1139,6448,18243
Horeca,Other Regions,Reset Button,187,727,949,8581,3009,3470,854,521,9530
Horeca,Other Regions,Reset Button,188,3,3459,26531,2438,6269,9819,8002,29990
Retail,Other Regions,Reset Button,189,404,6839,30528,8040,2758,11687,7639,37367
Retail,Other Regions,Reset Button,190,1856,4027,26064,834,275,11522,11577,30091
Horeca,Other Regions,Reset Button,191,64,118,32563,16936,7332,1981,6250,32681
Horeca,Other Regions,Reset Button,192,84,43,16274,13624,890,1381,295,16317
Horeca,Other Regions,Reset Button,193,409,187,10177,5509,547,2251,1461,10364
Retail,Other Regions,Reset Button,194,666,5618,25582,180,959,20292,3485,31200
Horeca,Other Regions,Reset Button,195,1142,355,13041,7107,806,2974,1012,13396
Horeca,Other Regions,Reset Button,196,1755,330,37035,17023,7888,5230,5139,37365
Horeca,Lisbon,Reset Button,197,2876,763,64317,30624,18711,4897,7209,65080
Retail,Lisbon,Reset Button,198,1468,4314,22510,2427,1127,10391,7097,26824
Horeca,Lisbon,Reset Button,199,697,592,24888,11686,3527,6824,2154,25480
Horeca,Lisbon,Reset Button,200,347,402,14929,9670,520,2112,2280,15331
Retail,Lisbon,Reset Button,201,731,9959,44106,3067,3941,23127,13240,54065
Retail,Lisbon,Reset Button,202,1681,14235,48821,4484,3549,24708,14399,63056
Horeca,Lisbon,Reset Button,203,6854,284,58099,25203,5065,9490,11487,58383
Horeca,Lisbon,Reset Button,204,18,954,3971,583,469,2216,685,4925
Horeca,Lisbon,Reset Button,205,1328,5,10784,1956,1383,5226,891,10789
Retail,Lisbon,Reset Button,206,710,9265,38079,1107,955,23596,11711,47344
Horeca,Lisbon,Reset Button,207,285,288,9266,6373,878,950,780,9554
Retail,Lisbon,Reset Button,208,120,5316,16433,2541,2946,6089,4737,21749
Horeca,Lisbon,Reset Button,209,806,3381,13788,1537,1859,5838,3748,17169
Retail,Lisbon,Reset Button,210,797,12420,36707,5550,864,16767,12729,49127
Horeca,Lisbon,Reset Button,211,2100,244,25756,18567,1801,1393,1895,26000
Retail,Lisbon,Reset Button,212,2870,19410,87745,12119,4736,39694,28326,107155
Horeca,Lisbon,Reset Button,213,1775,240,13431,7291,1291,2062,1012,13671
Horeca,Lisbon,Reset Button,214,1215,3961,19324,3317,1329,6861,6602,23285
Retail,Lisbon,Reset Button,215,791,5957,21981,2362,913,11364,6551,27938
Horeca,Lisbon,Reset Button,216,2388,5828,32871,2806,1374,15538,10765,38699
Retail,Lisbon,Reset Button,217,674,13308,56470,2532,179,36486,16599,69778
Horeca,Lisbon,Reset Button,218,1158,130,25255,18044,2532,2046,1475,25385
Retail,Lisbon,Reset Button,219,6372,4797,30384,18,1285,15205,7504,35181
Horeca,Lisbon,Reset Button,220,130,86,8348,4155,2306,1390,367,8434
Horeca,Lisbon,Reset Button,221,749,56,19550,14755,1765,1382,899,19606
Horeca,Lisbon,Reset Button,222,239,4167,23875,5396,91,10646,7503,28042
Horeca,Lisbon,Reset Button,223,375,256,16883,5041,7496,2856,1115,17139
Retail,Lisbon,Reset Button,224,1360,788,17554,2790,5612,5265,2527,18342
Horeca,Lisbon,Reset Button,225,659,70,10875,7274,784,1499,659,10945
Horeca,Lisbon,Reset Button,226,786,761,21526,12680,660,4157,3243,22287
Retail,Lisbon,Reset Button,227,1553,2568,39227,20782,1759,9212,5921,41795
Horeca,Lisbon,Reset Button,228,689,263,10784,4042,2286,1563,2204,11047
Horeca,Lisbon,Reset Button,229,203,4762,4171,1869,950,572,577,8933
Horeca,Lisbon,Reset Button,230,980,694,21728,8656,6845,2501,2746,22422
Retail,Lisbon,Reset Button,231,2137,955,33134,11072,8321,5615,5989,34089
Horeca,Lisbon,Reset Button,232,490,1566,18779,2344,1439,3828,10678,20345
Horeca,Lisbon,Reset Button,233,834,284,33052,25962,638,3838,1780,33336
Horeca,Lisbon,Reset Button,234,7,409,10208,964,937,3316,4984,10617
Horeca,Lisbon,Reset Button,235,2563,325,28962,15603,4260,3833,2703,29287
Horeca,Lisbon,Reset Button,236,295,1216,12555,1838,1218,2824,6380,13771
Horeca,Lisbon,Reset Button,237,225,415,15039,8635,2312,3047,820,15454
Horeca,Lisbon,Reset Button,238,1215,28,28972,18692,4634,593,3838,29000
Horeca,Lisbon,Reset Button,239,216,72,9751,7363,1112,585,475,9823
Horeca,Lisbon,Reset Button,240,2253,828,61335,47493,5243,3779,2567,62163
Horeca,Lisbon,Reset Button,241,2564,343,46698,22096,11422,7041,3575,47041
Horeca,Lisbon,Reset Button,242,1047,412,32468,24929,2216,2475,1801,32880
Horeca,Lisbon,Reset Button,243,578,586,26129,18226,3752,2914,659,26715
Horeca,Lisbon,Reset Button,244,2398,1682,22864,11210,561,5119,3576,24546
Horeca,Lisbon,Reset Button,245,1970,3143,27947,6202,1183,10817,7775,31090
Retail,Lisbon,Reset Button,246,2784,8933,26146,3062,230,13916,6154,35079
Horeca,Lisbon,Reset Button,247,610,430,15477,8885,1777,1777,2428,15907
Horeca,Lisbon,Reset Button,248,659,44,17140,13569,2077,489,346,17184
Horeca,Lisbon,Reset Button,249,572,562,24487,15671,559,2406,5279,25049
Horeca,Lisbon,Reset Button,250,291,918,20536,8040,6340,2070,3795,21454
Horeca,Lisbon,Reset Button,251,710,234,9423,3191,1730,1799,1993,9657
Retail,Lisbon,Reset Button,252,5121,18594,74720,6134,6746,33586,23133,93314
Horeca,Lisbon,Reset Button,253,1693,205,22599,6623,7683,4740,1860,22804
Horeca,Lisbon,Reset Button,254,1391,363,56276,29526,432,16966,7961,56639
Horeca,Lisbon,Reset Button,255,3265,1547,41050,10379,4686,4748,17972,42597
Horeca,Lisbon,Reset Button,256,615,111,37455,31614,3242,1495,489,37566
Horeca,Lisbon,Reset Button,257,373,392,22175,11092,453,5249,5008,22567
Horeca,Lisbon,Reset Button,258,987,3593,18280,8475,5004,1883,1931,21873
Horeca,Lisbon,Reset Button,259,3321,730,72513,56083,6422,2124,4563,73243
Horeca,Lisbon,Reset Button,260,818,967,69330,53205,3012,7336,4959,70297
Horeca,Lisbon,Reset Button,261,548,780,17110,9193,327,2157,4885,17890
Horeca,Lisbon,Reset Button,262,287,49,17167,7858,6818,1094,1110,17216
Horeca,Lisbon,Reset Button,263,655,429,27943,23257,982,1677,1372,28372
Horeca,Lisbon,Reset Button,264,411,2894,14687,2153,4324,6684,1115,17581
Retail,Lisbon,Reset Button,265,1265,5980,27523,1073,61,15445,9679,33503
Horeca,Lisbon,Reset Button,266,3636,830,56926,5909,10155,13699,23527,57756
Retail,Lisbon,Reset Button,267,2563,4882,37301,572,2221,22182,9763,42183
Horeca,Lisbon,Reset Button,268,3628,737,32294,20893,3975,2576,1222,33031
Retail,Lisbon,Reset Button,269,698,6374,41575,11908,1069,19847,8053,47949
Horeca,Lisbon,Reset Button,270,204,333,19334,15218,2516,1138,258,19667
Horeca,Lisbon,Reset Button,271,56,197,12283,4720,5500,975,1032,12480
Horeca,Lisbon,Reset Button,272,1550,147,11323,2083,1120,1563,5007,11470
Horeca,Lisbon,Reset Button,273,1040,93,17275,514,529,6869,8323,17368
Horeca,Other Regions,Reset Button,274,1824,210,47981,36817,4802,1493,3045,48191
Horeca,Other Regions,Reset Button,275,1153,759,6335,894,744,1841,1703,7094
Horeca,Other Regions,Reset Button,276,379,96,3754,680,862,223,1610,3850
Horeca,Other Regions,Reset Button,277,2503,603,45596,27901,4479,6964,3749,46199
Horeca,Other Regions,Reset Button,278,139,621,27631,9061,16919,683,829,28252
Horeca,Other Regions,Reset Button,279,1409,274,23807,11693,5845,2543,2317,24081
Retail,Other Regions,Reset Button,280,1721,3620,36268,17360,1293,9694,6200,39888
Horeca,Other Regions,Reset Button,281,1104,167,10762,3366,977,2431,2884,10929
Retail,Other Regions,Reset Button,282,2079,2328,28753,12238,1093,6235,7108,31081
Horeca,Other Regions,Reset Button,283,1404,1041,64654,49063,5970,4252,3965,65695
Horeca,Other Regions,Reset Button,284,1384,314,43080,25767,10303,2013,3613,43394
Horeca,Other Regions,Reset Button,285,2406,751,97069,68951,8692,12609,4411,97820
Horeca,Other Regions,Reset Button,286,18,436,45554,40254,1042,3600,640,45990
Horeca,Other Regions,Reset Button,287,128,1226,12385,7149,1619,1242,2247,13611
Horeca,Other Regions,Reset Button,288,1027,386,29677,15354,8366,2828,2102,30063
Horeca,Other Regions,Reset Button,289,258,445,19256,16260,848,1296,594,19701
Horeca,Other Regions,Reset Button,290,22,32,44953,42786,1388,471,286,44985
Horeca,Other Regions,Reset Button,291,1522,965,9534,2708,502,2642,2160,10499
Horeca,Other Regions,Reset Button,292,686,212,15830,6022,2507,3261,3354,16042
Horeca,Other Regions,Reset Button,293,1060,825,15151,2838,3838,4329,3086,15976
Retail,Oporto,Reset Button,294,741,5952,29211,3996,902,12469,11103,35163
Horeca,Oporto,Reset Button,295,1854,811,32599,21273,909,6550,2013,33410
Retail,Oporto,Reset Button,296,254,2208,15390,7588,417,5234,1897,17598
Horeca,Oporto,Reset Button,297,898,710,27977,19087,3045,3643,1304,28687
Retail,Oporto,Reset Button,298,531,3712,20261,8090,1455,6986,3199,23973
Retail,Oporto,Reset Button,299,1037,4538,23254,6758,934,9965,4560,27792
Horeca,Oporto,Reset Button,300,259,290,3906,444,264,2060,879,4196
Retail,Oporto,Reset Button,301,2005,2662,31880,16448,824,6360,6243,34542
Retail,Oporto,Reset Button,302,172,8752,40979,5283,1809,20399,13316,49731
Retail,Oporto,Reset Button,303,555,6236,18892,2886,364,9785,5302,25128
Retail,Oporto,Reset Button,304,59,10069,20667,2599,492,13829,3688,30736
Retail,Oporto,Reset Button,305,2410,11783,35421,161,617,24773,7460,47204
Retail,Oporto,Reset Button,306,211,3909,23044,243,799,8852,12939,26953
Retail,Oporto,Reset Button,307,1543,7558,44288,6468,1840,21570,12867,51846
Horeca,Oporto,Reset Button,308,925,351,24617,17327,1149,2842,2374,24968
Horeca,Oporto,Reset Button,309,656,257,12086,6987,416,3007,1020,12343
Retail,Oporto,Reset Button,310,806,6846,37411,918,1465,13567,20655,44257
Horeca,Oporto,Reset Button,311,1117,299,24617,7034,12569,2405,1492,24916
Horeca,Oporto,Reset Button,312,117,371,43413,29635,3046,8280,2335,43784
Retail,Oporto,Reset Button,313,142,17120,26462,2137,1274,19172,3737,43582
Horeca,Oporto,Reset Button,314,297,183,17858,9784,4447,2405,925,18041
Horeca,Oporto,Reset Button,315,1233,857,22775,10617,1483,7647,1795,23632
Retail,Oporto,Reset Button,316,3508,3891,32555,1479,662,11924,14982,36446
Horeca,Oporto,Reset Button,317,1059,83,14441,7127,2679,2201,1375,14524
Horeca,Oporto,Reset Button,318,1637,821,12999,1182,978,6114,3088,13820
Horeca,Oporto,Reset Button,319,51,706,20243,11800,2121,3558,2713,20949
Retail,Oporto,Reset Button,320,1625,12408,55228,9759,1128,17645,25071,67636
Horeca,Oporto,Reset Button,321,834,275,9098,1774,514,2280,3696,9373
Horeca,Oporto,Reset Button,322,1113,228,20046,9155,2714,5167,1897,20274
Horeca,Oporto,Reset Button,323,229,1470,23841,15881,3703,3315,713,25311
Horeca,Oporto,Reset Button,324,573,1679,27385,13360,915,11593,944,29064
Horeca,Oporto,Reset Button,325,1092,140,35489,25977,2369,2464,3587,35629
Horeca,Oporto,Reset Button,326,5609,1272,129605,32717,60869,13626,16784,130877
Horeca,Oporto,Reset Button,327,834,387,11787,4414,3498,1431,1610,12174
Horeca,Oporto,Reset Button,328,522,88,4041,542,414,1664,899,4129
Horeca,Oporto,Reset Button,329,1534,210,31914,16933,7849,3389,2209,32124
Horeca,Oporto,Reset Button,330,739,492,17048,5113,5127,4583,1486,17540
Horeca,Oporto,Reset Button,331,1043,182,21298,9790,3570,5109,1786,21480
Retail,Oporto,Reset Button,332,1102,9606,55279,11223,1234,26839,14881,64885
Horeca,Oporto,Reset Button,333,2602,178,31794,22321,2208,1447,3216,31972
Retail,Oporto,Reset Button,334,1215,38102,82189,8565,131,67298,4980,120291
Retail,Oporto,Reset Button,335,3486,332,35539,16823,11559,2743,928,35871
Retail,Oporto,Reset Button,336,2139,4111,48193,27082,1365,10790,6817,52304
Horeca,Oporto,Reset Button,337,778,146,18239,13970,650,1330,1511,18385
Horeca,Oporto,Reset Button,338,868,442,22347,9351,8170,2611,1347,22789
Horeca,Oporto,Reset Button,339,550,15,23508,3,15601,7021,333,23523
